Date,Open,Open2,Close,Close2,Moving Average,Stochastic,Momentum,Subtracao,Commodity Channel Index
1980-12-12,0.1283,"128,348.0000",0.1283,"128,348",0.1283,NaN,NaN,0.0000,NaN
1980-12-15,0.1222,"122,210",0.1217,"121,652",0.1250,NaN,NaN,0.0033,NaN
1980-12-16,0.1133,"113,281",0.1127,"112,723",0.1209,NaN,NaN,0.0082,NaN
1980-12-17,0.1155,"115,513",0.1155,"115,513",0.1196,NaN,NaN,0.0040,NaN
1980-12-18,0.1189,"118,862",0.1189,"118,862",0.1194,NaN,NaN,0.0006,NaN
1980-12-19,0.1261,"126,116",0.1261,"126,116",0.1205,NaN,NaN,0.0056,NaN
1980-12-22,0.1323,"132,254",0.1323,"132,254",0.1222,NaN,NaN,0.0100,NaN
1980-12-23,0.1378,"137,835",0.1378,"137,835",0.1222,1,0.0039,0.0156,10773.8557
1980-12-24,0.1451,"145,089",0.1451,"145,089",0.1236,1,0.0162,0.0215,7301.3284
1980-12-26,0.1585,"158,482",0.1585,"158,482",0.1269,1,0.0324,0.0316,5420.1499
1980-12-29,0.1607,"160,714",0.1607,"160,714",0.1335,1,0.0430,0.0273,4200.9633
1980-12-30,0.1574,"157,366",0.1568,"156,808",0.1399,1,0.0419,0.0169,3492.5648
1980-12-31,0.1529,"152,902",0.1523,"152,344",0.1453,0.8871033008,0.0307,0.0070,3166.5092
1981-01-02,0.1540,"154,018",0.1540,"154,018",0.1491,0.7059030218,0.0201,0.0049,3212.2683
1981-01-05,0.1512,"151,228",0.1507,"150,670",0.1522,0.7073298658,0.0162,0.0015,3413.2658
1981-01-06,0.1445,"144,531",0.1440,"143,973",0.1540,0.357184,0.0056,0.0100,3894.6035
1981-01-07,0.1384,"138,393",0.1378,"137,835",0.1539,0,-0.0145,0.0160,4340.5467
1981-01-08,0.1356,"135,603",0.1350,"135,045",0.1509,0,-0.0229,0.0159,5047.9890
1981-01-09,0.1423,"142,299",0.1423,"142,299",0.1472,0,-0.0218,0.0049,5701.8732
1981-01-12,0.1423,"142,299",0.1412,"141,183",0.1452,0.3823327887,-0.0100,0.0040,6735.5101
1981-01-13,0.1367,"136,719",0.1362,"136,161",0.1436,0.3235123597,-0.0128,0.0074,7013.6292
1981-01-14,0.1367,"136,719",0.1367,"136,719",0.1410,0.071424,-0.0145,0.0043,6604.3161
1981-01-15,0.1395,"139,509",0.1395,"139,509",0.1390,0.1875,-0.0073,0.0005,6220.6562
1981-01-16,0.1390,"138,951",0.1384,"138,393",0.1384,0.6153846154,0.0017,0.0000,7309.5354
1981-01-19,0.1468,"146,763",0.1468,"146,763",0.1385,0.4615384615,0.0033,0.0083,10481.9706
1981-01-20,0.1429,"142,857",0.1423,"142,299",0.1401,1,0.0045,0.0022,13340.0462
1981-01-21,0.1451,"145,089",0.1451,"145,089",0.1401,0.5789473684,0.0011,0.0049,14738.1966
1981-01-22,0.1468,"146,763",0.1468,"146,763",0.1407,0.8421052632,0.0089,0.0061,14283.9287
1981-01-23,0.1468,"146,763",0.1462,"146,205",0.1422,1,0.0100,0.0040,15183.8569
1981-01-26,0.1445,"144,531",0.1440,"143,973",0.1436,0.9333333333,0.0067,0.0004,15517.2804
1981-01-27,0.1440,"143,973",0.1429,"142,857",0.1442,0.6666666667,0.0056,0.0014,15634.3090
1981-01-28,0.1390,"138,951",0.1384,"138,393",0.1448,0.125,-0.0039,0.0065,14920.5752
1981-01-29,0.1339,"133,929",0.1334,"133,371",0.1437,0,-0.0039,0.0103,15867.6608
1981-01-30,0.1272,"127,232",0.1261,"126,116",0.1424,0,-0.0117,0.0163,11907.4194
1981-02-02,0.1194,"119,420",0.1189,"118,862",0.1397,0,-0.0206,0.0208,8729.1844
